binary,structure,x_GaAs,x_InAs,formula,lattice_matrix,volume(Ang^3),num_atoms,total_energy(eV),bandgap_Gamma(eV),functional,energy_per_formula_eV,hmix_meV_per_formula
GaAs InAs,zb,1.0,0.0,Ga1.00In0.00As,"[[0.0, 2.83375116054371, 2.83375116054371], [2.83375116054371, 0.0, 2.83375116054371], [2.83375116054371, 2.83375116054371, 0.0]]",45.51086905270592,2,-9.9327613,1.3528,HSE,-9.9327613,0.0
GaAs InAs,zb,0.875,0.125,Ga0.88In0.12As,"[[11.445271036952443, -3.20174108307e-05, 0.0002815610121646], [-3.11870203038e-05, 11.44084254903295, 0.001853044354593], [0.0002820836028948, 0.0018554072769325, 11.450507925533486]]",46.85531395469944,64,-314.56964,1.138,HSE,-9.83030125,16.46546249999936
GaAs InAs,zb,0.75,0.25,Ga0.75In0.25As,"[[11.551104485363048, 1.94357708031e-05, 0.0008712765840848], [1.79795318072e-05, 11.551673479403927, 0.0009014350282764], [0.0008715397478203, 0.000901843057579, 11.566342630302039]]",48.22969180491243,64,-311.33357,0.9367,HSE,-9.7291740625,31.598062499998747
GaAs InAs,zb,0.625,0.375,Ga0.62In0.38As,"[[11.653331366341156, 0.0017042641102042, 0.0018309083799078], [0.0017007865087632, 11.662334776045913, 0.0019121511384476], [0.0018321786028378, 0.0019156445101579, 11.674839816469298]]",49.58342476973398,64,-308.57586,0.8428,HSE,-9.642995625,31.78191249999962
GaAs InAs,zb,0.5,0.5,Ga0.50In0.50As,"[[11.774735346177723, 0.0032098829757443, -0.002824651029792], [0.0032139021730383, 11.77941715729591, 0.0001243442634086], [-0.0028239958292903, 0.0001199262232955, 11.774897263124913]]",51.03663680137075,64,-305.59587,0.6796,HSE,-9.5498709375,38.91201249999909
GaAs InAs,zb,0.375,0.625,Ga0.38In0.62As,"[[11.891527032976828, -0.0004249129708931, -0.0018328361057], [-0.0004259743626537, 11.88487449848143, -0.0012076034061584], [-0.0018295444992154, -0.0012034245783644, 11.877378353457459]]",52.45692453272626,64,-303.1206,0.6042,HSE,-9.47251875,30.26961249999971
GaAs InAs,zb,0.25,0.75,Ga0.25In0.75As,"[[12.000405535808193, 0.0017770023264247, -0.0006812321094066], [0.0017794525095906, 12.000911028969842, -6.32286633436e-05], [-0.0006798027491607, -6.35415236194e-05, 11.993816779834708]]",53.97809577615079,64,-300.4135,0.476,HSE,-9.387921875,28.871899999998618
GaAs InAs,zb,0.125,0.875,Ga0.12In0.88As,"[[12.112356556421599, 0.0013285599272975, 6.89163519439e-05], [0.0013298087567374, 12.100961961743394, -0.0001689538622083], [7.00145844372e-05, -0.0001714088068491, 12.107737520698748]]",55.45766199067889,64,-298.18102,0.4333,HSE,-9.318156875,12.642312500000585
GaAs InAs,zb,0.0,1.0,Ga0.00In1.00As,"[[0.0, 3.054434985027015, 3.054434985027015], [3.054434985027015, 0.0, 3.054434985027015], [3.054434985027015, 3.054434985027015, 0.0]]",56.993148808134194,2,-9.2448046,0.3769,HSE,-9.2448046,0.0
